Collection,Nid,Title,Contributing Institution,Contributor,Coverage,Creator,Date Digital,Date Original (Precise),Date Original (Precise),Decade,Description,Digitization Specifications,Excerpt,Folder,Format,Image,Language,Publisher,Relation,Resource Identifier,Rights Management,Series,Source,Subject,Transcript,Type,Video
Back to the Land,64,planting,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,"David Katz, seated, transplanting greens with friends in the fields at Birdsfoot Farm.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0004_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 5x7 3/4 in. on 8x10 in board",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Planting,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Children,,,
,,,,,,,,,,,,,,,,,,,,,,,,Seedlings,,,
Back to the Land,65,Fun in the Garden,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,David Katz and friends in the fields at Birdsfoot Farm.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0005_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 4 3/4x5 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
Back to the Land,66,two people playing in field,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0006_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 5x6 3/8 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
,,,,,,,,,,,,,,,,,,,,,,,,Recreation,,,
Back to the Land,68,Garden Fun,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,"Group shot at Birdsfoot; Kathy Allen, Doug Jones, unknown woman, David Katz.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0007_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 5x5 1/8 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
,,,,,,,,,,,,,,,,,,,,,,,,"Portraits, Group",,,
Back to the Land,69,Discing-in a Cover Crop,,"Katz, David",Saint Lawrence River Valley,"Jones, Doug",20-Nov-09,,,,David Katz discing the fields at Birdsfoot Farm.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0008_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 5x5 3/4 in.",Sustainable agriculture,,Image,
,,,,,North Country,,,,,,,,,,,,,,,,,,,Organic farming,,,
