Collection,Nid,Title,Contributing Institution,Contributor,Coverage,Creator,Date Digital,Date Original (Precise),Date Original (Precise),Decade,Description,Digitization Specifications,Excerpt,Folder,Format,Image,Language,Publisher,Relation,Resource Identifier,Rights Management,Series,Source,Subject,Transcript,Type,Video
,,,,,,,,,,,,,,,,,,,,,,,,Harvesting,,,
,,,,,,,,,,,,,,,,,,,,,,,,Green beans,,,
Back to the Land,177,Grain Harvest,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00144_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Croplands,,,
,,,,,,,,,,,,,,,,,,,,,,,,Harvesting,,,
Back to the Land,178,Columbine from Out Back,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00145_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Dwellings,,,
,,,,,,,,,,,,,,,,,,,,,,,,Houses,,,
,,,,,,,,,,,,,,,,,,,,,,,,Meadows,,,
Back to the Land,179,Garden Tour,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00146_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
Back to the Land,180,Garlic Picking,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00147_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Harvesting,,,
,,,,,,,,,,,,,,,,,,,,,,,,Garlic,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
Back to the Land,181,Garden Tour,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00148_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
Back to the Land,182,Peeling Fence Posts,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00149_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Fences,,,
,,,,,,,,,,,,,,,,,,,,,,,,Children,,,
,,,,,,,,,,,,,,,,,,,,,,,,Fencing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
Back to the Land,183,Out in the Snow,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00151_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Outdoor recreation,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
,,,,,,,,,,,,,,,,,,,,,,,,Children,,,
Back to the Land,184,School Site,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00152_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,B irdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Little River School,,,
,,,,,,,,,,,,,,,,,,,,,,,,Community life,,,
,,,,,,,,,,,,,,,,,,,,,,,,Alternative lifestyles,,,
Back to the Land,185,Flowers Being Prepared for Market,,Birdsfoot Farm,Canton (N.Y.),"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00153_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Flowers,,Image,
,,,,,Saint Lawrence County (N.Y),,,,,,,,,,,,,,,,,,,Cut flowers,,,
,,,,,"North Country, New York",,,,,,,,,,,,,,,,,,,Flower arrangements,,,
,,,,,,,,,,,,,,,,,,,,,,,,Harvesting--New York (State) -- Saint Lawrence County,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic farming --New York (State) -- Saint Lawrence County,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
Back to the Land,186,Picking Basil,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00155_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Basil,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Herbs,,,
,,,,,,,,,,,,,,,,,,,,,,,,Harvesting,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic farming,,,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
Back to the Land,187,House Raising,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00156_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Architecture,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Houses,,,
,,,,,,,,,,,,,,,,,,,,,,,,House Construction,,,
,,,,,,,,,,,,,,,,,,,,,,,,House Raising,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
Back to the Land,188,At the Washstand with Potatoes,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00157_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Potatoes,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
,,,,,,,,,,,,,,,,,,,,,,,,Food processing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Harvesting,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic farming,,,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Washing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Cleaning,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
Back to the Land,189,Rosa,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00158_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pets,,,
,,,,,,,,,,,,,,,,,,,,,,,,Dogs,,,
Back to the Land,190,House Raising,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00159_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Houses,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,House construction,,,
,,,,,,,,,,,,,,,,,,,,,,,,House-raising,,,
,,,,,,,,,,,,,,,,,,,,,,,,Architecture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Dwellings,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
Back to the Land,191,Aerial Photograph of Gardens,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00160_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pastures,,,
,,,,,,,,,,,,,,,,,,,,,,,,Meadows,,,
,,,,,,,,,,,,,,,,,,,,,,,,Woodlots,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,"Land use, Rural",,,
Back to the Land,192,Gardens - Aerial View of Birdsfoot,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00161_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
Back to the Land,193,Tree View of Gardens in Late June,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00162_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
Back to the Land,194,Gardens from Log House,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00163_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
Back to the Land,195,Terraced Gardens from Roof,,Birdsfoot Farm,,"Jones, Doug",12-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00164_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Soil management,,,
Back to the Land,201,View of the Fields,,Birdsfoot Farm,,"Jones, Doug",13-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00165_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
Back to the Land,203,Still Life with Garden Tools,,Birdsfoot Farm,,"Jones, Doug",13-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00166_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Hand tools,,,
Back to the Land,204,Wheel Hoeing Spinach Bed,,Birdsfoot Farm,,"Jones, Doug",13-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00168_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Spinach,,,
,,,,,,,,,,,,,,,,,,,,,,,,Tools,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Tools,,,
Back to the Land,205,Combining Rye,,Birdsfoot Farm,,"Jones, Doug",13-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00169_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Combines,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm equipment,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm tracrtors,,,
,,,,,,,,,,,,,,,,,,,,,,,,Field crops,,,
Back to the Land,206,Wheel Hoeing Beans and Carrots,,Birdsfoot Farm,,"Jones, Doug",13-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00170_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Carrots,,,
,,,,,,,,,,,,,,,,,,,,,,,,Beans,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Root crops,,,
,,,,,,,,,,,,,,,,,,,,,,,,Tools,,,
Back to the Land,207,Shelling Popcorn,,Birdsfoot Farm,,"Jones, Doug",13-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00171_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Food processing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Porches,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farmhouses,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
,,,,,,,,,,,,,,,,,,,,,,,,Corn,,,
Back to the Land,208,Log House as Greenhouse,,Birdsfoot Farm,,"Jones, Doug",13-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00174_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Buildings,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Log buildings,,,
,,,,,,,,,,,,,,,,,,,,,,,,Dwellings,,,
,,,,,,,,,,,,,,,,,,,,,,,,Greenhouses,,,
Back to the Land,209,Fanning Mill,,Birdsfoot Farm,,"Jones, Doug",13-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00172_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Harvesting machinery,,,
,,,,,,,,,,,,,,,,,,,,,,,,Fanning mills,,,
Back to the Land,210,Threshing Spinach Seeds,,Birdsfoot Farm,,"Jones, Doug",13-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00173_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Spinach,,,
,,,,,,,,,,,,,,,,,,,,,,,,Seed crops,,,
,,,,,,,,,,,,,,,,,,,,,,,,Outbuildings,,,
Back to the Land,211,Cold Frames with Greens,,Birdsfoot Farm,,"Jones, Doug",13-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00175_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Season extension,,,
,,,,,,,,,,,,,,,,,,,,,,,,Cold-frames,,,
,,,,,,,,,,,,,,,,,,,,,,,,"Greens, Edible",,,
Back to the Land,212,"Sweetclover, Vetch and Spinach",,Birdsfoot Farm,,"Jones, Doug",13-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00176_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Spinach,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetables,,,
,,,,,,,,,,,,,,,,,,,,,,,,Green manure crops,,,
Back to the Land,213,Melons in Sunlight,,Birdsfoot Farm,,"Jones, Doug",13-Jan-10,,,,,"Scanned with Nikon Super CoolScan 9000 ED scanner as uncompressed TIFF images. Images resized to 1200 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00177_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,Original version: 35 mm color slide.,Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Melons,,,
